family,stress,level,method,n,success_rate_mean,success_rate_se,distractor_rate_mean,distractor_rate_se,mean_progress_mean,mean_progress_se,regret_mean,regret_se,ranking_margin_mean,ranking_margin_se,endpoint_error_mean,endpoint_error_se
B,leak,0.0,causal_residual,10,1.0,0.0,0.0,0.0,0.9166863896587975,0.0005491248486124082,0.01635530415798848,0.00032049583471245905,0.15594235179202215,0.0007217233695350952,0.5556846388640488,0.0002445078979773665
B,leak,0.0,oracle_effect,10,1.0,0.0,0.0,0.0,0.9330416938167858,0.0006824807174877325,0.0,0.0,0.15594235179202215,0.0007217233695350952,0.5128155748301745,0.00023843004917550393
B,leak,0.0,total_flow,10,0.0,0.0,1.0,0.0,0.03444302244451045,0.00048109813227317956,0.8985986713722754,0.0009268997642645918,0.15594235179202215,0.0007217233695350952,0.027927101719766995,3.468501175125882e-05
B,leak,0.1,causal_residual,10,1.0,0.0,0.0,0.0,0.9138691960704343,0.0011418711597865703,0.019070545848601593,0.0003926418351614446,0.15570210416415903,0.00105640975656481,0.5576250631028341,0.00037956884178309597
B,leak,0.1,oracle_effect,10,1.0,0.0,0.0,0.0,0.932939741919036,0.001074161950882806,0.0,0.0,0.15570210416415903,0.00105640975656481,0.5131547895151486,0.00033666389034664186
B,leak,0.1,total_flow,10,0.0,0.0,1.0,0.0,0.03510989829086754,0.0006298012769672351,0.8978298436281683,0.0016219393032113271,0.15570210416415903,0.00105640975656481,0.027844700437567326,4.429672666311037e-05
B,leak,0.25,causal_residual,10,1.0,0.0,0.0,0.0,0.9085814647531183,0.0010856861722528773,0.024423442087698234,0.0003740420596302117,0.15506023397779903,0.0005763799528008236,0.5631266628551147,0.00027706524969092484
B,leak,0.25,oracle_effect,10,1.0,0.0,0.0,0.0,0.9330049068408164,0.0009387955652629281,0.0,0.0,0.15506023397779903,0.0005763799528008236,0.5126108836068188,0.0003021085265323853
B,leak,0.25,total_flow,10,0.0,0.0,1.0,0.0,0.034438501277203715,0.00045271593427392945,0.8985664055636127,0.0011646015935700901,0.15506023397779903,0.0005763799528008236,0.027965332751240274,3.4338632583110957e-05
B,leak,0.5,causal_residual,10,0.9917142857142857,0.0007766431633476217,0.003,0.0006004533434723091,0.8911023898864219,0.0012512215495026472,0.04207465003124365,0.0009215372753546384,0.15602219162905104,0.0007465397038048275,0.577020713648287,0.00025870693695357764
B,leak,0.5,oracle_effect,10,1.0,0.0,0.0,0.0,0.9331770399176653,0.0007374000240599403,0.0,0.0,0.15602219162905104,0.0007465397038048275,0.5127424275715275,0.0002465883539500172
B,leak,0.5,total_flow,10,0.0,0.0,1.0,0.0,0.034264145865587056,0.0005964437740573926,0.8989128940520784,0.0011218349912520177,0.15602219162905104,0.0007465397038048275,0.027929955660892243,3.629502476608853e-05
B,leak,0.75,causal_residual,10,0.7058571428571428,0.002455499635115001,0.083,0.0029848445608028234,0.6324544628361551,0.0026829359242032677,0.30013139942005834,0.002495826409943432,0.15499675368130167,0.0005754069018128388,0.5914430330120921,0.0003198822493888348
B,leak,0.75,oracle_effect,10,1.0,0.0,0.0,0.0,0.9325858622562133,0.0008267415211325063,0.0,0.0,0.15499675368130167,0.0005754069018128388,0.512650092551383,0.0003108272870593968
B,leak,0.75,total_flow,10,0.0,0.0,1.0,0.0,0.03451131889287055,0.00042989162174242947,0.898074543363343,0.0009939870131558135,0.15499675368130167,0.0005754069018128388,0.027979763260966607,2.9996639614469674e-05
B,leak,1.0,causal_residual,10,0.05814285714285714,0.0009535706854524182,0.24985714285714283,0.0038712264927052687,0.049678166313120733,0.0010587569288518035,0.8837636494217987,0.001131597648541727,0.15617368314607555,0.0007674720459934106,0.6064769738866762,0.000271254464058846
B,leak,1.0,oracle_effect,10,1.0,0.0,0.0,0.0,0.9334418157349195,0.0007775426662067547,0.0,0.0,0.15617368314607555,0.0007674720459934106,0.5127394497988969,0.00024710223011316915
B,leak,1.0,total_flow,10,0.0,0.0,1.0,0.0,0.034178602934406555,0.0006267253354780858,0.8992632128005129,0.0012209261094137244,0.15617368314607555,0.0007674720459934106,0.02793925069160704,3.6266164855430876e-05
B,scale,0.25,causal_residual,10,0.0,0.0,1.0,0.0,0.037249172142013814,0.0007622035700494717,0.8954092231502025,0.0012755620927091403,0.15296232574305632,0.0008842493821831362,0.1855852800722055,0.00014361566216689476
B,scale,0.25,oracle_effect,10,1.0,0.0,0.0,0.0,0.9326583952922164,0.0008145260941015269,0.0,0.0,0.15296232574305632,0.0008842493821831362,0.5129091930707055,0.00016222049759142843
B,scale,0.25,total_flow,10,0.0,0.0,1.0,0.0,0.034704338635717306,0.0007591989079786869,0.8979540566564991,0.0011353231738885966,0.15296232574305632,0.0008842493821831362,0.027913946475374856,2.4949208405715185e-05
B,scale,0.5,causal_residual,10,0.036571428571428574,0.0021607716770549387,0.9634285714285713,0.0021607716770549357,0.08222527707136053,0.002105826961676358,0.8510631756913216,0.0018728093306328852,0.15516726014215887,0.0007100561068597463,0.3085750880029628,0.00011780133266819283
B,scale,0.5,oracle_effect,10,1.0,0.0,0.0,0.0,0.933288452762682,0.0009912337874357776,0.0,0.0,0.15516726014215887,0.0007100561068597463,0.5131794826973801,0.0002057599603980884
B,scale,0.5,total_flow,10,0.0,0.0,1.0,0.0,0.03437657364201723,0.0007721151458071546,0.8989118791206648,0.0015268948941263307,0.15516726014215887,0.0007100561068597463,0.027938708427026233,2.9306981579071862e-05
B,scale,0.75,causal_residual,10,0.9347857142857144,0.0030136687851330408,0.06521428571428571,0.0030136687851330416,0.8692806861953093,0.001969111083752764,0.06304013887917113,0.0020502087629250087,0.1545423327219534,0.0008762278250067881,0.43171230731856036,0.00023306033102485344
B,scale,0.75,oracle_effect,10,1.0,0.0,0.0,0.0,0.9323208250744802,0.0007337750982983986,0.0,0.0,0.1545423327219534,0.0008762278250067881,0.5129822702845792,0.0003365713807793851
B,scale,0.75,total_flow,10,0.0,0.0,1.0,0.0,0.03448785159108219,0.0007127928235790452,0.8978329734833981,0.0010783675756745592,0.1545423327219534,0.0008762278250067881,0.02788990468243579,2.2013527122405462e-05
B,scale,1.0,causal_residual,10,1.0,0.0,0.0,0.0,0.9173035977648375,0.0008150153950994941,0.015573320455786405,0.0003403631588412244,0.1551745071423254,0.0008054088535942676,0.5558648582873821,0.00031032083407836345
B,scale,1.0,oracle_effect,10,1.0,0.0,0.0,0.0,0.9328769182206239,0.0008632195209998505,0.0,0.0,0.1551745071423254,0.0008054088535942676,0.5130440874614669,0.0002924733482976254
B,scale,1.0,total_flow,10,0.0,0.0,1.0,0.0,0.034638999587736544,0.00068809093625654,0.8982379186328874,0.0012147313436861168,0.1551745071423254,0.0008054088535942676,0.027903691777057267,2.7056148497258808e-05
B,scale,1.25,causal_residual,10,1.0,0.0,0.0,0.0,0.9152133288451274,0.0008682823785547035,0.016398969422390462,0.00043025270597675427,0.15510568673819178,0.0009188141409800501,0.680563255987247,0.00024187058605700708
B,scale,1.25,oracle_effect,10,1.0,0.0,0.0,0.0,0.9316122982675179,0.0007946736999159306,0.0,0.0,0.15510568673819178,0.0009188141409800501,0.5130617193884793,0.00014885533727708073
B,scale,1.25,total_flow,10,0.0,0.0,1.0,0.0,0.033667687725708405,0.0005489961412034678,0.8979446105418095,0.0007523859775094616,0.15510568673819178,0.0009188141409800501,0.027910174134913028,1.8121571963484975e-05
B,scale,1.5,causal_residual,10,1.0,0.0,0.0,0.0,0.9162610451803719,0.0008252960498409513,0.017265400954952256,0.00027447691400947835,0.15707145306935993,0.000667776981582911,0.8060891798907646,0.00032176694559660744
B,scale,1.5,oracle_effect,10,1.0,0.0,0.0,0.0,0.9335264461353242,0.0007859570428606084,0.0,0.0,0.15707145306935993,0.000667776981582911,0.513491443591026,0.00018686124549804445
B,scale,1.5,total_flow,10,0.0,0.0,1.0,0.0,0.03539952197590213,0.00041005115416768267,0.8981269241594221,0.0009637824600521835,0.15707145306935993,0.000667776981582911,0.027917018681234206,2.1004470464969975e-05
